SNo,Area,Country/Region,Last Update,Confirmed,Deaths,Recovered
316,"Manatee County, FL",US,3/9/2020 8:53,2,0,0
317,"Pinal County, AZ",US,3/7/2020 17:13,2,0,0
318,"Portland, OR",US,3/2/2020 3:33,2,0,0
319,"Providence, RI",US,3/2/2020 3:43,2,0,0
320,"Sacramento County, CA",US,2/27/2020 20:33,2,0,0
321,"San Benito, CA",US,2/3/2020 3:53,2,0,0
322,"San Mateo, CA",US,3/3/2020 0:43,2,0,0
323,"Saratoga County, NY",US,3/7/2020 18:23,2,0,0
324,"Summit County, CO",US,3/6/2020 1:29,2,0,0
325,United States Virgin Islands,US,3/18/2020 0:13,2,0,0
326,Virgin Islands,US,3/17/2020 20:53,2,0,0
327,"Washington, D.C.",US,3/8/2020 13:53,2,0,0
328,"Washoe County, NV",US,3/8/2020 21:43,2,0,0
329,,Zambia,3/18/2020 14:33,2,0,0
330,,Antigua and Barbuda,3/15/2020 18:20,1,0,0
331,Northern Territory,Australia,3/14/2020 1:53,1,0,0
332,,Bhutan,3/13/2020 22:22,1,0,0
333,"Calgary, Alberta",Canada,3/6/2020 13:13,1,0,0
334,"London, ON",Canada,2/12/2020 18:53,1,0,1
335,Prince Edward Island,Canada,3/15/2020 2:13,1,0,0
336,,Cayman Islands,3/13/2020 12:33,1,0,0
337,,Central African Republic,3/16/2020 3:33,1,0,0
338,,Channel Islands,3/10/2020 5:33,1,0,0
339,,Congo (Brazzaville),3/16/2020 14:38,1,0,0
340,,Curacao,3/14/2020 16:15,1,0,0
341,,Djibouti,3/18/2020 12:33,1,0,0
342,,Eswatini,3/15/2020 6:41,1,0,0
343,,Gabon,3/14/2020 13:33,1,0,0
344,,"Gambia, The",3/18/2020 14:13,1,0,0
345,,Gibraltar,3/10/2020 8:33,1,0,1
346,,Greenland,3/16/2020 16:53,1,0,0
347,,Guinea,3/15/2020 6:41,1,0,0
348,,Holy See,3/13/2020 22:22,1,0,0
